timestamp,valor
1748355721.8118174,"ID: 2082 | Temperatura: 26.30 C | Pressao: 1018.83 hPa | Accel [X,Y,Z]: -0.074, -0.134, 0.914 | Gyro [X,Y,Z] (°/s): -0.98, -2.09, ovf"
1748355722.9410427,"ID: 2083 | Temperatura: 26.20 C | Pressao: 1018.91 hPa | Accel [X,Y,Z]: -0.084, -0.133, 0.915 | Gyro [X,Y,Z] (°/s): -1.00, -2.23, ovf"
1748355724.0716393,"ID: 2084 | Temperatura: 26.20 C | Pressao: 1018.87 hPa | Accel [X,Y,Z]: -0.084, -0.134, 0.906 | Gyro [X,Y,Z] (°/s): -1.04, -2.21, ovf"
1748355725.199641,"ID: 2085 | Temperatura: 26.30 C | Pressao: 1018.83 hPa | Accel [X,Y,Z]: -0.078, -0.140, 0.912 | Gyro [X,Y,Z] (°/s): -1.05, -2.13, ovf"
1748355726.3296533,"ID: 2086 | Temperatura: 26.30 C | Pressao: 1018.93 hPa | Accel [X,Y,Z]: -0.084, -0.140, 0.914 | Gyro [X,Y,Z] (°/s): -0.86, -2.22, ovf"
1748355727.4580774,"ID: 2087 | Temperatura: 26.30 C | Pressao: 1018.83 hPa | Accel [X,Y,Z]: -0.083, -0.136, 0.915 | Gyro [X,Y,Z] (°/s): -1.02, -2.11, ovf"
1748355728.5880458,"ID: 2088 | Temperatura: 26.30 C | Pressao: 1018.85 hPa | Accel [X,Y,Z]: -0.079, -0.144, 0.909 | Gyro [X,Y,Z] (°/s): -0.85, -2.12, ovf"
1748355729.7176116,"ID: 2089 | Temperatura: 26.30 C | Pressao: 1018.85 hPa | Accel [X,Y,Z]: -0.078, -0.141, 0.908 | Gyro [X,Y,Z] (°/s): -0.83, -2.11, ovf"
1748355730.8479571,"ID: 2090 | Temperatura: 26.30 C | Pressao: 1018.88 hPa | Accel [X,Y,Z]: -0.078, -0.138, 0.913 | Gyro [X,Y,Z] (°/s): -1.02, -1.99, ovf"
1748355731.9758584,"ID: 2091 | Temperatura: 26.30 C | Pressao: 1018.85 hPa | Accel [X,Y,Z]: -0.081, -0.134, 0.917 | Gyro [X,Y,Z] (°/s): -1.08, -2.20, ovf"
1748355733.105387,"ID: 2092 | Temperatura: 26.30 C | Pressao: 1018.93 hPa | Accel [X,Y,Z]: -0.081, -0.134, 0.910 | Gyro [X,Y,Z] (°/s): -0.92, -1.99, ovf"
1748355734.2333913,"ID: 2093 | Temperatura: 26.30 C | Pressao: 1018.88 hPa | Accel [X,Y,Z]: -0.080, -0.142, 0.920 | Gyro [X,Y,Z] (°/s): -1.19, -2.11, ovf"
